x,y,z
325.0,243.0,5701.8774
326.0,243.0,5702.662
327.0,243.0,5703.3896
328.0,243.0,5704.191
329.0,243.0,5704.7866
330.0,243.0,5705.468
331.0,243.0,5706.56
332.0,243.0,5708.194
333.0,243.0,5709.963
334.0,243.0,5712.211
335.0,243.0,5714.4683
336.0,243.0,5714.581
337.0,243.0,5713.5957
338.0,243.0,5713.4175
339.0,243.0,5713.4614
340.0,243.0,5712.8975
341.0,243.0,5712.2964
342.0,243.0,5712.1753
343.0,243.0,5711.425
344.0,243.0,5710.962
345.0,243.0,5710.7573
346.0,243.0,5710.5107
347.0,243.0,5711.2227
348.0,243.0,5712.7153
349.0,243.0,5713.822
350.0,243.0,5714.3037
351.0,243.0,5715.1265
352.0,243.0,5713.315
353.0,243.0,5712.8066
354.0,243.0,5712.283
355.0,243.0,5710.609
356.0,243.0,5711.997
357.0,243.0,5714.2305
358.0,243.0,5713.803
359.0,243.0,5714.4165
360.0,243.0,5714.01
361.0,243.0,5713.069
362.0,243.0,5715.189
363.0,243.0,5714.044
364.0,243.0,5708.825
